input,domain_label,intent_label
Can I listen to She Got the Best of Me,music,play music
What's the news on the stock market,news,get stories news
recipes with no meat or cheese,recipes,get recipes
introduce a timer to last 5 minutes,timer,create timer
Set timer for 45 minutes,timer,create timer
Delete my Gym reminders for December next year.,reminder,delete reminder
Do I have to let it cool off first,recipes,is true recipes
Friends of david,people,get contact
ring dad's phone,calling,create call
make a call to Ethan Tucker's granddaughter,calling,create call
Add 3 minutes to the microwave timer,timer,add time timer
Please remind me for the next business meeting,reminder,create reminder
Add Mom to the call,calling,update call
I want to find out about Joe.,people,get info contact
set a july alarm,alarm,create alarm
are there any more articles about this,news,get stories news
Can you make an alarm for the 18th at 7am?,alarm,create alarm
play a indie rock playlist.,music,play music
When is the rain going to start,weather,get weather
Set availability as unavailable,calling,set unavailable
call Blanche Dundon 's grandpa,calling,create call
"i have chicken and herbs, what can i make for dinner",recipes,get recipes
Were any of Astrid Arrick homies born in May?,people,get contact
New alarm for tomorrow at 10:30 am please,alarm,create alarm
find vegan recipes,recipes,get recipes
Send message to my son that he was invited to little jimmys birthday party next week,messaging,send message
Set the timer for 5 minutes,timer,create timer
Where does Brad live?,people,get location
Are there any tropical storms right now?,weather,get weather
call Darryl Nunez,calling,create call
how hot is the weather in dubai?,weather,get weather
Make an alarm for 9pm please.,alarm,create alarm
Can you put a timer on for an hour from now,timer,create timer
Is there a rugby game over the weekend,event,get event
what was on the news last week?,news,get stories news
play the track Happier,music,play music
Tell me about the news in New Zealand,news,get stories news
will there be rain tomorrow,weather,get weather
WhatsApp call Kaila Obrien,calling,create call
Show me all of my reminders in EST.,reminder,get reminder
Is it cold enough for a jacket?,weather,get weather
Make an alarm this Thursday at 0800.,alarm,create alarm
Play some blues for me,music,play music
Find me news from New York City,news,get stories news
Set an alarm for 6pm this evening,alarm,create alarm
How much salt should be added to a chili recipe,recipes,get info recipes
is it hot out today?,weather,get weather
could I video message Patrick Perez Aguilar,messaging,send message
Please erase all of my alarms,alarm,delete alarm
I'd like to call Anna,calling,create call
Get rid of the reminder about finishing up the hummus in the fridge,reminder,delete reminder
How long should I leave salmon in the oven?,recipes,get info recipes
Is there any ice hockey match Tuesday,event,get event
what are the rain predictions for this week,weather,get weather
I want the latest news on Channel 11 CBS,news,get stories news
Did John message me on Friday?,messaging,get message
Sound alarm every 20 minutes,alarm,create alarm
Ask if Rebecca is ok,messaging,send message
Tell Dirk the poetry reading at the cafe is on Wednesday.,messaging,send message
set an alarm for thursday at 6,alarm,create alarm
How windy is it on the beach?,weather,get weather
Put the call with my brother in law on hold,calling,hold call
Create an alarm for 4th May at 5am.,alarm,create alarm
show me articles on Russians,news,get stories news
what are texts from my wife Finley,messaging,get message
who is connected on line now,calling,get availability
Who does john work for,people,get employer
Whats the best way to cook hot dogs,recipes,get info recipes
Can you please tell me who works at Mcdonalds?,people,get contact
Send a message to my dad and tell him I can’t talk right now because I am in a meeting,messaging,send message
Is Sabrina online at the moment?,calling,get availability
I'd like you to tell me where the last event is at,event,get location
Describe the weather,weather,get weather
i would like to message Bernie that Facebook message,messaging,send message
Search news stories for Russia.,news,get stories news
"I need updates on Charlottesville, VA today",news,get details news
F temperature,weather,get weather
turn of my alarms,alarm,silence alarm
call granddaughter on Whatsapp video chat,calling,create call
Who graduated from Indiana University?,people,get contact
How many alarms do i have?,alarm,get alarm
What should I bake today,recipes,get recipes
set a timer  for 2 pm to run for 30 min,timer,create timer
show my alarm,alarm,get alarm
call Kenneth WhatsApp,calling,create call
Call CC Ball for me,calling,create call
Please find the Neiman Marcus recipe,recipes,get recipes
What's the weather like outside at the moment?,weather,get weather
Events in Texas,event,get event
Newest news from North Korea,news,get stories news
what is the weather in miami right now,weather,get weather
Is there flash flooding now,weather,get weather
Adele radio on Spotify,music,play music
What were the headlines yesterday,news,get stories news
What is Melanie's home address?,people,get location
tell my timer to take a break,timer,pause timer
let's leave a video recording,messaging,send message
Set a 1 hour workout session.,timer,create timer
can i listen to the last song again,music,previous track music
Who works at SpaceX?,people,get contact
Build a new alarm entry,alarm,create alarm
Switch my voice call to video call,calling,update method call
make a call to 3895555049,calling,create call
Change timer to go off in 10 minutes.,timer,subtract time timer
What will the humidity be today?,weather,get weather
Show the event reminders for this weekend.,reminder,get reminder
Which direction is the wind blowing,weather,get weather
Play me pop music now,music,play music
set a workout for an hour with alarms every 10 minutes,alarm,create alarm
Send the pictures to Lynn.,messaging,send message
What time is sunrise on Tuesday morning,weather,get sunrise
save song list that just played,music,add to playlist music
Is it cold outside ?,weather,get weather
How's the weather looking for the Yankees game tonight,weather,get weather
cancel every single alarm that has been set,alarm,delete alarm
give me the news update for around the world.,news,get stories news
please dial Ryann Small right away,calling,create call
Tell me Nancy's age,people,get age
repeat alarm monday through friday only,alarm,update alarm
it is hot weather today,weather,get weather
Add a note to the reminder to not forget my paperwork,reminder,update reminder todo
